Country;2017 (€);2018 (€);2019 (€);2017 (U$D);2018 (U$D);2019 (U$D);Total 2017-2019 (Euros);Total 2017-2019 (U$D);;;;;;;;
France; € 12.539,00 ; € 12.744,00 ; € 13.733,00 ; $14.169,07 ; $15.049,39 ; $15.371,35 ; € 39.016.000.000,00 ; $44.610.894.400,00 ;;;;;;;;
Germany; € 7.972,00 ; € 8.472,00 ; € 8.989,00 ; $9.008,36 ; $10.004,58 ; $10.061,39 ; € 25.433.000.000,00 ; $29.080.092.200,00 ;;;;;;;;
Spain; € 4.488,00 ; € 4.777,00 ; € 5.053,00 ; $5.071,44 ; $5.641,16 ; $5.655,82 ; € 14.318.000.000,00 ; $16.371.201.200,00 ;;;;;;;;
Italy; € 4.450,00 ; € 4.691,50 ; € 4.732,80 ; $5.028,50 ; $5.540,19 ; $5.297,42 ; € 13.874.300.000,00 ; $15.863.874.620,00 ;;;;;;;;
Great Britain; € 4.160,10 ; € 4.203,60 ; € 4.064,80 ; $4.700,91 ; $4.964,03 ; $4.549,73 ; € 12.428.500.000,00 ; $14.210.746.900,00 ;;;;;;;;
Netherlands; € 3.374,00 ; € 3.553,00 ; € 3.761,00 ; $3.812,62 ; $4.195,74 ; $4.209,69 ; € 10.688.000.000,00 ; $12.220.659.200,00 ;;;;;;;;
Sweden; € 2.557,80 ; € 2.588,60 ; € 2.746,20 ; $2.890,31 ; $3.056,88 ; $3.073,82 ; € 7.892.600.000,00 ; $9.024.398.840,00 ;;;;;Average Euro/Dollar 2017-2019;;;
Switzerland; € 2.168,50 ; € 2.172,00 ; € 2.233,00 ; $2.450,41 ; $2.564,91 ; $2.499,40 ; € 6.573.500.000,00 ; $7.516.139.900,00 ;;;;;2017;2018;2019;Average
Poland; € 1.776,80 ; € 2.250,10 ; € 2.299,30 ; $2.007,78 ; $2.657,14 ; $2.573,61 ; € 6.326.200.000,00 ; $7.233.377.080,00 ;;;;; $1,13 ; $1,18 ; $1,12 ; $1,14 
Belgium; € 1.678,40 ; € 1.917,40 ; € 1.915,90 ; $1.896,59 ; $2.264,26 ; $2.144,47 ; € 5.511.700.000,00 ; $6.302.077.780,00 ;;;;;;;;
Norway; € 1.596,10 ; € 1.631,00 ; € 1.824,80 ; $1.803,59 ; $1.926,05 ; $2.042,50 ; € 5.051.900.000,00 ; $5.776.342.460,00 ;;;;;Average Dollar/Ars 2017-2019;;;
Hungary; € 1.464,10 ; € 1.328,80 ; € 1.599,10 ; $1.654,43 ; $1.569,18 ; $1.789,87 ; € 4.392.000.000,00 ; $5.021.812.800,00 ;;;;;2017;2018;2019;Average
Finland; € 1.188,00 ; € 1.331,00 ; € 1.370,00 ; $1.342,44 ; $1.571,78 ; $1.533,44 ; € 3.889.000.000,00 ; $4.446.682.600,00 ;;;;; $ 16,56 ; $ 28,08 ; $ 48,19 ; $ 30,94 
Denmark; € 1.108,30 ; € 1.166,20 ; € 1.216,20 ; $1.252,38 ; $1.377,17 ; $1.361,29 ; € 3.490.700.000,00 ; $3.991.266.380,00 ;;;;;;;;
Austria; € 1.014,50 ; € 1.078,30 ; € 1.101,00 ; $1.146,39 ; $1.273,36 ; $1.232,35 ; € 3.193.800.000,00 ; $3.651.790.920,00 ;;;;;Argentinian Sports Budget 2017-2019;;;
Czech Republic; € 810,90 ; € 1.014,00 ; € 1.031,20 ; $916,32 ; $1.197,43 ; $1.154,22 ; € 2.856.100.000,00 ; $3.265.664.740,00 ;;;;Currency;2017;2018;2019;Total
Greece; € 665,00 ; € 787,00 ; € 782,00 ; $751,45 ; $929,37 ; $875,29 ; € 2.234.000.000,00 ; $2.554.355.600,00 ;;;;Argentinian Pesos; $ 1.433.000.000,00 ; $ 1.097.000.000,00 ; $ 991.000.000,00 ; $ 3.521.000.000,00 
Portugal; € 542,50 ; € 637,30 ; € 706,40 ; $613,03 ; $752,59 ; $790,67 ; € 1.886.200.000,00 ; $2.156.681.080,00 ;;;;(MM Ars); $ 1.433,00 ; $ 1.097,00 ; $ 991,00 ; $ 3.521,00 
Romania; € 490,20 ; € 584,20 ; € 661,60 ; $553,93 ; $689,88 ; $740,53 ; € 1.736.000.000,00 ; $1.984.942.400,00 ;;;;U$D; $86.540.000,00 ; $39.060.000,00 ; $20.560.000,00 ; $146.160.000,00 
